"","Periodo","CIIU_industria","ventasTotales","ARIMA_Forecast","ARIMA_Lower80","ARIMA_Upper80","ARIMA_Lower95","ARIMA_Upper95","RW_Forecast","RW_Lower80","RW_Upper80","RW_Lower95","RW_Upper95","Combined_Forecast","Combined_Lower80","Combined_Upper80","Combined_Lower95","Combined_Upper95"
"26",2020-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",207683222.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2020-03-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",117721801.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2020-04-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",56264741.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2020-05-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",68343903.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2020-06-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",133881599.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2020-07-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",103411342.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2020-08-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",119582352.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2020-09-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",126346984.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2020-10-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",135279663.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2020-11-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",151804735.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2020-12-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",266862696.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2021-01-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",129489850.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2021-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",131082085.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2021-03-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",155523290.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2021-04-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",134754726.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2021-05-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",136323719.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2021-06-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",274463590.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2021-07-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",175639483.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2021-08-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",183895916.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2021-09-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",170977776.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2021-10-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",190822468.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2021-11-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",200300535.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2021-12-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",372787626.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2022-01-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",149954331.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2022-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",175404275.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2022-03-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",182336858.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2022-04-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",196495970.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2022-05-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",194250185.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2022-06-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",372256716.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2022-07-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",202741027.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2022-08-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",216111505.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2022-09-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",194243687.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2022-10-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",216425063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2022-11-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",195261029.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2022-12-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",482727875.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2023-01-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",190986301.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2023-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",185859833.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2023-03-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",218158914.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2023-04-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",198353076.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2023-05-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",217383766.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2023-06-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",486155183.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2023-07-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",229455458.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2023-08-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",216161493.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2023-09-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",208703827.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2023-10-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",213094569.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2023-11-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",209471420.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2023-12-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",589218459.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2024-01-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",192881081.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2024-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",211106886.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2024-03-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",232717397.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2024-04-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",221975985.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2024-05-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",218168786.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2024-06-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",415722943.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2024-07-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",224597885.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2024-08-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",227068415.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2024-09-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",NA,211052585.337841,156184316.799978,265920853.875704,127138809.942792,294966360.73289,243034438.738072,133940854.61787,379051219.631375,101973811.697952,479145228.251203,227043512.037956,145062585.708924,322486036.75354,114556310.820372,387055794.492047
"82",2024-10-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",NA,215443326.877841,148487329.928743,282399323.82694,113042966.176444,317843687.579238,262616817.200188,104156661.574156,459386937.885877,66974639.1137663,704686620.114583,239030072.039015,126321995.751449,370893130.856408,90008802.6451053,511265153.846911
"83",2024-11-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",NA,211820177.607841,134647098.347309,288993256.868373,93794137.9280248,329846217.287657,282376442.882564,88362370.854034,526943577.614536,52039440.7278796,908011495.572873,247098310.245203,111504734.600671,407968417.241454,72916789.3279522,618928856.430265
"84",2024-12-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",NA,591567216.707841,505379846.416962,677754586.99872,459755008.573591,723379424.842092,304006544.385668,76176310.2967355,576210362.318616,47002320.3114562,1026170284.72075,447786880.546755,290778078.356849,626982474.658668,253378664.442523,874774854.781421
"85",2025-01-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",NA,195229839.177841,100885568.377958,289574109.977724,50942728.2359682,339516950.119714,328844421.194965,71912247.3260814,704107364.812899,39253488.4840294,1208627862.37164,262037130.186403,86398907.8520197,496840737.395312,45098108.3599988,774072406.245679
"86",2025-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",NA,213455643.497841,111605655.437624,315305631.558058,57689528.5861641,369221758.409518,360616288.217141,63147884.7004844,762959293.960837,35415575.6818865,1481994603.09088,287035965.857491,87376770.0690542,539132462.759448,46552552.1340253,925608180.7502
"87",2018-01-01,"ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.",139874707.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
